InsertionSort-Cresc,InsertionSort-Decresc,InsertionSort-Aleatorio,BubbleSort2-Cresc,BubbleSort2-Decresc,BubbleSort2-Aleatorio,BubbleSort-Cresc,BubbleSort-Decresc,BubbleSort-Aleatorio,SelectionSort-Cresc,SelectionSort-Decresc,SelectionSort-Aleatorio,BucketSort-Cresc,BucketSort-Decresc,BucketSort-Aleatorio,
0,0,0,0,0,0,0,0,0,0,0,0,4,104,37,
2,3,3,1,1,1,2,2,2,2,2,2,9,108,105,
4,8,4,2,2,2,5,5,5,5,5,5,14,112,60,
6,15,14,3,3,3,9,9,9,9,9,9,19,116,90,
8,24,15,4,4,4,14,14,14,14,14,14,24,120,102,
10,35,17,5,5,5,20,20,20,20,20,20,29,124,103,
12,48,32,6,6,6,27,27,27,27,27,27,34,128,120,
14,63,42,7,7,7,35,35,35,35,35,35,39,132,120,
16,80,37,8,8,8,44,44,44,44,44,44,44,136,103,
18,99,76,9,9,9,54,54,54,54,54,54,49,140,112,
20,120,69,10,10,10,65,65,65,65,65,65,54,144,140,
22,143,113,11,11,11,77,77,77,77,77,77,59,148,147,
24,168,101,12,12,12,90,90,90,90,90,90,64,152,144,
26,195,103,13,13,13,104,104,104,104,104,104,69,156,147,
28,224,125,14,14,14,119,119,119,119,119,119,74,160,154,
30,255,107,15,15,15,135,135,135,135,135,135,79,164,161,
32,288,219,16,16,16,152,152,152,152,152,152,84,168,166,
34,323,197,17,17,17,170,170,170,170,170,170,89,172,170,
36,360,185,18,18,18,189,189,189,189,189,189,94,176,173,
38,399,304,19,19,19,209,209,209,209,209,209,99,180,174,
40,440,246,20,20,20,230,230,230,230,230,230,104,184,181,
42,483,266,21,21,21,252,252,252,252,252,252,109,188,178,
44,528,245,22,22,22,275,275,275,275,275,275,114,192,187,
46,575,254,23,23,23,299,299,299,299,299,299,119,196,189,
48,624,416,24,24,24,324,324,324,324,324,324,124,200,192,
50,675,276,25,25,25,350,350,350,350,350,350,129,204,197,
52,728,376,26,26,26,377,377,377,377,377,377,134,208,200,
54,783,407,27,27,27,405,405,405,405,405,405,139,212,205,
56,840,484,28,28,28,434,434,434,434,434,434,144,216,209,
58,899,481,29,29,29,464,464,464,464,464,464,149,220,216,
60,960,444,30,30,30,495,495,495,495,495,495,154,224,219,
62,1023,504,31,31,31,527,527,527,527,527,527,159,228,220,
64,1088,644,32,32,32,560,560,560,560,560,560,164,232,220,
66,1155,613,33,33,33,594,594,594,594,594,594,169,236,231,
68,1224,741,34,34,34,629,629,629,629,629,629,174,240,235,
70,1295,746,35,35,35,665,665,665,665,665,665,179,244,234,
72,1368,749,36,36,36,702,702,702,702,702,702,184,248,233,
74,1443,757,37,37,37,740,740,740,740,740,740,189,252,244,
76,1520,966,38,38,38,779,779,779,779,779,779,194,256,246,
78,1599,828,39,39,39,819,819,819,819,819,819,199,260,251,
80,1680,870,40,40,40,860,860,860,860,860,860,204,264,253,
82,1763,1033,41,41,41,902,902,902,902,902,902,209,268,259,
84,1848,1023,42,42,42,945,945,945,945,945,945,214,272,262,
86,1935,994,43,43,43,989,989,989,989,989,989,219,276,271,
88,2024,1091,44,44,44,1034,1034,1034,1034,1034,1034,224,280,269,
90,2115,987,45,45,45,1080,1080,1080,1080,1080,1080,229,284,274,
92,2208,1156,46,46,46,1127,1127,1127,1127,1127,1127,234,288,270,
94,2303,1163,47,47,47,1175,1175,1175,1175,1175,1175,239,292,281,
96,2400,1239,48,48,48,1224,1224,1224,1224,1224,1224,244,296,276,
98,2499,1428,49,49,49,1274,1274,1274,1274,1274,1274,249,300,287,
100,2600,1436,50,50,50,1325,1325,1325,1325,1325,1325,254,304,296,
102,2703,1415,51,51,51,1377,1377,1377,1377,1377,1377,259,308,296,
104,2808,1306,52,52,52,1430,1430,1430,1430,1430,1430,264,312,298,
106,2915,1636,53,53,53,1484,1484,1484,1484,1484,1484,269,316,306,
108,3024,1544,54,54,54,1539,1539,1539,1539,1539,1539,274,320,303,
110,3135,1571,55,55,55,1595,1595,1595,1595,1595,1595,279,324,308,
112,3248,1841,56,56,56,1652,1652,1652,1652,1652,1652,284,328,315,
114,3363,1875,57,57,57,1710,1710,1710,1710,1710,1710,289,332,320,
116,3480,1775,58,58,58,1769,1769,1769,1769,1769,1769,294,336,320,
118,3599,1895,59,59,59,1829,1829,1829,1829,1829,1829,299,340,317,
120,3720,1710,60,60,60,1890,1890,1890,1890,1890,1890,304,344,326,
122,3843,1959,61,61,61,1952,1952,1952,1952,1952,1952,309,348,335,
124,3968,1923,62,62,62,2015,2015,2015,2015,2015,2015,314,352,336,
126,4095,1812,63,63,63,2079,2079,2079,2079,2079,2079,319,356,342,
128,4224,2089,64,64,64,2144,2144,2144,2144,2144,2144,324,360,337,
130,4355,2192,65,65,65,2210,2210,2210,2210,2210,2210,329,364,343,
132,4488,2441,66,66,66,2277,2277,2277,2277,2277,2277,334,368,351,
134,4623,2516,67,67,67,2345,2345,2345,2345,2345,2345,339,372,355,
136,4760,2564,68,68,68,2414,2414,2414,2414,2414,2414,344,376,356,
138,4899,2548,69,69,69,2484,2484,2484,2484,2484,2484,349,380,362,
140,5040,2625,70,70,70,2555,2555,2555,2555,2555,2555,354,384,363,
142,5183,2169,71,71,71,2627,2627,2627,2627,2627,2627,359,388,364,
144,5328,2597,72,72,72,2700,2700,2700,2700,2700,2700,364,392,372,
146,5475,2793,73,73,73,2774,2774,2774,2774,2774,2774,369,396,374,
148,5624,2790,74,74,74,2849,2849,2849,2849,2849,2849,374,400,377,
150,5775,2372,75,75,75,2925,2925,2925,2925,2925,2925,379,404,379,
152,5928,2829,76,76,76,3002,3002,3002,3002,3002,3002,384,408,384,
154,6083,3028,77,77,77,3080,3080,3080,3080,3080,3080,389,412,390,
